Location,Latitude,Longitude,Time,Temp_F
ELY MN,47.903237,-91.867087,2023-07-30 14:45:09,72.01
Death Valley CA,36.5323,-116.93,2023-07-30 14:45:09,113.54
Maryville MO,40.346102,-94.872471,2023-07-30 14:45:09,85.98
ELY MN,47.903237,-91.867087,2023-07-30 14:46:09,72.01
Death Valley CA,36.5323,-116.93,2023-07-30 14:46:10,113.54
Maryville MO,40.346102,-94.872471,2023-07-30 14:46:10,85.98
ELY MN,47.903237,-91.867087,2023-07-30 14:47:10,72.01
Death Valley CA,36.5323,-116.93,2023-07-30 14:47:10,113.54
Maryville MO,40.346102,-94.872471,2023-07-30 14:47:11,85.98
ELY MN,47.903237,-91.867087,2023-07-30 14:48:11,72.01
Death Valley CA,36.5323,-116.93,2023-07-30 14:48:11,113.54
Maryville MO,40.346102,-94.872471,2023-07-30 14:48:11,85.98
